datacasetype|childid|childdesc|parentid|parentdesc|answer|c_depth
0|721974000|(removed)|363212003|(removed)|true|3
0|209657004|(removed)|282026002|(removed)|true|5
0|717309008|(removed)|706449001|(removed)|true|4
0|273686004|(removed)|273249006|(removed)|true|3
0|291881008|(removed)|72431002|(removed)|true|5
0|11835471000119109|(removed)|11793311000119102|(removed)|true|8
0|593007|(removed)|21158003|(removed)|true|11
0|719017003|(removed)|1162976004|(removed)|true|5
0|277412001|(removed)|272434008|(removed)|true|5
0|472061000124107|(removed)|386053000|(removed)|true|4
0|111591002|(removed)|2128005|(removed)|true|6
0|368734004|(removed)|67261003|(removed)|true|11
0|783005002|(removed)|75019001|(removed)|true|5
0|68688001|(removed)|56757003|(removed)|true|5
0|768321007|(removed)|108669000|(removed)|true|4
0|300283005|(removed)|249392003|(removed)|true|5
0|404631002|(removed)|11131000119108|(removed)|true|6
0|776978001|(removed)|432885003|(removed)|true|7
0|244558004|(removed)|27949001|(removed)|true|10
0|785642008|(removed)|430755005|(removed)|true|5
0|69536005|(removed)|774007|(removed)|true|9
0|341591000119109|(removed)|341631000119109|(removed)|true|5
0|868231004|(removed)|119561005|(removed)|true|4
0|15375005|(removed)|763760008|(removed)|true|4
0|182515004|(removed)|384719006|(removed)|true|4
0|47907004|(removed)|83010009|(removed)|true|9
0|459090007|(removed)|131261003|(removed)|true|11
0|93830007|(removed)|94058008|(removed)|true|7
0|92017000|(removed)|126736007|(removed)|true|6
0|384972001|(removed)|420898009|(removed)|true|5
0|91888004|(removed)|60220000|(removed)|true|6
0|250253005|(removed)|365621008|(removed)|true|7
0|780736004|(removed)|771739008|(removed)|true|5
0|871614007|(removed)|363028003|(removed)|true|6
0|708059004|(removed)|300513000|(removed)|true|8
0|711515004|(removed)|11281008|(removed)|true|9
0|47434006|(removed)|95827002|(removed)|true|5
0|129011005|(removed)|414514009|(removed)|true|5
0|289498004|(removed)|289497009|(removed)|true|8
0|235589008|(removed)|235580007|(removed)|true|7
0|415199000|(removed)|415197003|(removed)|true|9
0|298558007|(removed)|304346000|(removed)|true|5
0|76442008|(removed)|6999006|(removed)|true|8
0|462968006|(removed)|706262004|(removed)|true|4
0|309120005|(removed)|430268003|(removed)|true|3
0|264889002|(removed)|246206008|(removed)|true|5
0|230623004|(removed)|239953001|(removed)|true|4
0|109092007|(removed)|372688009|(removed)|true|4
0|212462003|(removed)|125599006|(removed)|true|5
0|292221000119102|(removed)|329701000119107|(removed)|true|6
0|468053001|(removed)|19923001|(removed)|true|6
0|467073008|(removed)|705314004|(removed)|true|6
0|52969004|(removed)|63361002|(removed)|true|5
0|302220000|(removed)|53950000|(removed)|true|6
0|231131000|(removed)|46179008|(removed)|true|7
0|1197700001|(removed)|17709002|(removed)|true|5
0|779307000|(removed)|776013000|(removed)|true|5
0|424485000|(removed)|415909008|(removed)|true|9
0|75608000|(removed)|68989006|(removed)|true|6
0|232855005|(removed)|175103009|(removed)|true|7
0|473285009|(removed)|450613001|(removed)|true|8
0|295653006|(removed)|295598008|(removed)|true|7
0|281892006|(removed)|49117002|(removed)|true|9
0|410271000119102|(removed)|4891000087108|(removed)|true|8
0|121956002|(removed)|310861008|(removed)|true|10
0|252332007|(removed)|314067002|(removed)|true|6
0|363781001|(removed)|430925007|(removed)|true|6
0|724951003|(removed)|274173003|(removed)|true|5
0|229217001|(removed)|299695005|(removed)|true|6
0|698598000|(removed)|106112009|(removed)|true|3
0|80636000|(removed)|112811009|(removed)|true|7
0|105260007|(removed)|430925007|(removed)|true|6
0|72807002|(removed)|123598000|(removed)|true|6
0|230961004|(removed)|710955000|(removed)|true|3
0|410474007|(removed)|23502006|(removed)|true|7
0|21985009|(removed)|95320005|(removed)|true|5
0|111214005|(removed)|396233005|(removed)|true|7
0|289998006|(removed)|403731002|(removed)|true|5
0|391158008|(removed)|1290126002|(removed)|true|4
0|17475005|(removed)|74281007|(removed)|true|8
0|764469002|(removed)|789136004|(removed)|true|11
0|310561004|(removed)|231772008|(removed)|true|7
0|264588004|(removed)|272727007|(removed)|true|7
0|303805005|(removed)|715019009|(removed)|true|9
0|361920004|(removed)|272625005|(removed)|true|6
0|234437005|(removed)|414027002|(removed)|true|5
0|10818181000119107|(removed)|704187002|(removed)|true|7
0|365312004|(removed)|365307000|(removed)|true|8
0|45165007|(removed)|51560008|(removed)|true|9
0|1156445000|(removed)|401017002|(removed)|true|4
0|446809007|(removed)|114169004|(removed)|true|7
0|194103006|(removed)|5725006|(removed)|true|5
0|350165001|(removed)|31087008|(removed)|true|4
0|784601002|(removed)|786426000|(removed)|true|7
0|55483002|(removed)|196639001|(removed)|true|8
0|218045009|(removed)|242766009|(removed)|true|10
0|70573000|(removed)|233174007|(removed)|true|3
0|863883002|(removed)|714664001|(removed)|true|6
0|726610000|(removed)|1187279003|(removed)|true|8
0|91316003|(removed)|20824003|(removed)|true|7
0|249460003|(removed)|75547007|(removed)|true|6
0|772029005|(removed)|1003715001|(removed)|true|8
0|1269149003|(removed)|432253008|(removed)|true|4
0|90410003|(removed)|53442002|(removed)|true|6
0|709620000|(removed)|431865004|(removed)|true|6
0|297190005|(removed)|1172728007|(removed)|true|5
0|1269525009|(removed)|736306002|(removed)|true|10
0|262118001|(removed)|272147009|(removed)|true|4
0|363001008|(removed)|313206006|(removed)|true|5
0|75469003|(removed)|121258006|(removed)|true|7
0|10965881000119103|(removed)|283540000|(removed)|true|8
